Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID,Publication Type,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Source Title,Book Series Title,Book Series Subtitle,Language,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,Venue,Citations
Leveau L.M.; Kopp J.,"Leveau, Lucas M. (6506982397); Kopp, Juan (58907987000)",6506982397; 58907987000,Bird color and taxonomic diversity are negatively related to human disturbance in urban parks,2024.0,Web Ecology,24,1,,1,10,9.0,0.0,10.5194/we-24-1-2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186081976&doi=10.5194%2fwe-24-1-2024&partnerID=40&md5=a380c55c1619e7a44334bda472c59809,Article,Scopus,2-s2.0-85186081976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"6th International Conference of Transportation Research Group of India, CTRG 2021",2023.0,Lecture Notes in Civil Engineering,272,,,,,344.0,0.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137999215&partnerID=40&md5=0a1ea1c06269647a8fd724fad6c766c0,Conference review,Scopus,2-s2.0-85137999215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eom S.; Kim H.; Hasegawa D.; Yamada I.,"Eom, Sunyong (57210336845); Kim, Hongjik (57217593802); Hasegawa, Daisuke (57865026000); Yamada, Ikuho (35328694100)",57210336845; 57217593802; 57865026000; 35328694100,Pedestrian movement with large-scale GPS records and transit-oriented development attributes,2024.0,Sustainable Cities and Society,102,,105223,,,,2.0,10.1016/j.scs.2024.105223,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183199135&doi=10.1016%2fj.scs.2024.105223&partnerID=40&md5=ef9365fe4ff745b5ae79f90cf7220e7d,Article,Scopus,2-s2.0-85183199135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meivel S.; Maheswari S.; Banu D.F.,"Meivel, S. (57191913735); Maheswari, S. (26423170800); Banu, D. Faridha (57773091900)",57191913735; 26423170800; 57773091900,Design and Development of Human Temperature Measuring System Using Drone Based Multispectral and Thermal Images,2023.0,Lecture Notes in Civil Engineering,304,,,67,85,18.0,0.0,10.1007/978-3-031-19309-5_6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151064738&doi=10.1007%2f978-3-031-19309-5_6&partnerID=40&md5=9d4a715e728479f9833f8e3a1e55ac65,Conference paper,Scopus,2-s2.0-85151064738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaris G.; Arellana J.; Beck M.; Behrens R.; Calastri C.; Hess S.; Song F.; Tsitsi Tamuka Moyo H.; Zuidgeest M.,"Amaris, Gloria (57190017038); Arellana, Julián (55569221400); Beck, Matthew (36561141700); Behrens, Roger (11940822400); Calastri, Chiara (55761106100); Hess, Stephane (7102293820); Song, Fangqing (56323226100); Tsitsi Tamuka Moyo, Hazvinei (57194470730); Zuidgeest, Mark (6506363090)",57190017038; 55569221400; 36561141700; 11940822400; 55761106100; 7102293820; 56323226100; 57194470730; 6506363090,"A multi-country panel study of behaviour, perceptions and expectations during different stages of the COVID-19 pandemic",2024.0,Travel Behaviour and Society,34,,100676,,,,0.0,10.1016/j.tbs.2023.100676,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171483887&doi=10.1016%2fj.tbs.2023.100676&partnerID=40&md5=c4f211dcdbe883a5be409ecd128318c1,Article,Scopus,2-s2.0-85171483887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lin Y.; Wang M.; Lei J.; He H.,"Lin, Yuancheng (57223039217); Wang, Min (57189039510); Lei, Junchao (58531597500); He, Huiyan (58531898900)",57223039217; 57189039510; 58531597500; 58531898900,"Perception and Interaction of Urban Medical Space from the Perspective of Technical Geography: A Case Study of Guangzhou, China",2023.0,Journal of Urban Planning and Development,149,4,05023032,,,,1.0,10.1061/JUPDDM.UPENG-4432,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167598939&doi=10.1061%2fJUPDDM.UPENG-4432&partnerID=40&md5=018e4a7ae170eb8fd7f26c4ccfc06e30,Article,Scopus,2-s2.0-85167598939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gašparová K.; Fennessy J.; Moussa Zabeirou A.R.; Abagana A.L.; Rabeil T.; Brandlová K.,"Gašparová, Kateřina (58640759900); Fennessy, Julian (7003720008); Moussa Zabeirou, Abdoul Razack (57221799772); Abagana, Ali Laouel (57219729547); Rabeil, Thomas (56112811800); Brandlová, Karolína (55554719600)",58640759900; 7003720008; 57221799772; 57219729547; 56112811800; 55554719600,Saving the Last West African Giraffe Population: A Review of Its Conservation Status and Management,2024.0,Animals,14,5,702,,,,1.0,10.3390/ani14050702,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187865163&doi=10.3390%2fani14050702&partnerID=40&md5=6c5794f1cc37595de08dab32174b6aef,Review,Scopus,2-s2.0-85187865163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barua D.K.; Halder M.; Shopnil S.; Islam M.M.,"Barua, Deb Kanti (58931048200); Halder, Mithun (58931242200); Shopnil, Shayanta (58931435800); Islam, Md. Motaharul (57213419679)",58931048200; 58931242200; 58931435800; 57213419679,PTIN: Enriching Pedestrian Safety with an LSTM-GRU-Transformer Based Trajectory Imputation System for Autonomous Vehicles,2023.0,"2023 26th International Conference on Computer and Information Technology, ICCIT 2023",,,,,,,0.0,10.1109/ICCIT60459.2023.10441523,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187370152&doi=10.1109%2fICCIT60459.2023.10441523&partnerID=40&md5=581423c3ea0346e3d60bcc5fb079da27,Conference paper,Scopus,2-s2.0-85187370152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istrate A.-L.,"Istrate, Aura-Luciana (57218542433)",57218542433,"Street Vitality: What Predicts Pedestrian Flows and Stationary Activities on Predominantly Residential Chinese Streets, at the Mesoscale?",2023.0,Journal of Planning Education and Research,,,,,,,1.0,10.1177/0739456X231184607,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165129029&doi=10.1177%2f0739456X231184607&partnerID=40&md5=c32161c1e256e9ff1772e2972f2dce25,Article,Scopus,2-s2.0-85165129029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dong X.; Guerra E.; Daziano R.A.,"Dong, Xiaoxia (57194287957); Guerra, Erick (37057452700); Daziano, Ricardo A. (47060993800)",57194287957; 37057452700; 47060993800,Will automated vehicles encourage more jaywalking? Results from a stated preference survey,2024.0,Transportation Research Part F: Traffic Psychology and Behaviour,103,,,217,229,12.0,0.0,10.1016/j.trf.2024.04.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191168349&doi=10.1016%2fj.trf.2024.04.011&partnerID=40&md5=3cf5053639db33503730f2e5ec71c355,Article,Scopus,2-s2.0-85191168349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alitaleshi A.; Jazayeriy H.; Kazemitabar J.,"Alitaleshi, Atefe (56770106600); Jazayeriy, Hamid (25825038100); Kazemitabar, Javad (15834715500)",56770106600; 25825038100; 15834715500,Indoor Pedestrian Trajectory Reconstruction Using Spatial–Temporal Error Correction and Dynamic Time Warping-Based Path Matching for Fingerprints Map Creation,2023.0,Arabian Journal for Science and Engineering,48,2,,2101,2119,18.0,1.0,10.1007/s13369-022-07095-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135864910&doi=10.1007%2fs13369-022-07095-8&partnerID=40&md5=ddc089eceb49dbdafcdc945e32974006,Article,Scopus,2-s2.0-85135864910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peixoto N.G.M.; Rafael Ferreira L.; Klein M.E.; Michalski R.L.X.N.; Monteiro L.M.,"Peixoto, Nara Gabriela Mesquita (57201463099); Rafael Ferreira, Lucas (58779430100); Klein, Michael Edison (58778930500); Michalski, Ranny Loureiro Xavier Nascimento (55537202300); Monteiro, Leonardo Marques (54889973300)",57201463099; 58779430100; 58778930500; 55537202300; 54889973300,Influence of soundscape on quality of work from home during the second phase of the pandemic in Brazil,2023.0,Noise Mapping,10,1,20220175,,,,0.0,10.1515/noise-2022-0175,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180601643&doi=10.1515%2fnoise-2022-0175&partnerID=40&md5=00a7d42d40d39ddf0176722e4f3a6289,Article,Scopus,2-s2.0-85180601643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bansal A.; Agarwal A.; Lalit M.; Seeja K.R.,"Bansal, Adya (58409616700); Agarwal, Aroma (58406044900); Lalit, Muskan (57338962600); Seeja, K.R. (25653275800)",58409616700; 58406044900; 57338962600; 25653275800,Survey of Pedestrian Trajectory Prediction Techniques Using Surveillance Videos,2023.0,Lecture Notes in Electrical Engineering,1056 LNEE,,,623,629,6.0,0.0,10.1007/978-981-99-3656-4_64,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174546674&doi=10.1007%2f978-981-99-3656-4_64&partnerID=40&md5=068b4d2ab3cfa0a884e3028a6a8baaa2,Conference paper,Scopus,2-s2.0-85174546674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tseng M.; Espinoza-Kulick M.A.V.; Munoz-Christian K.; Gilbert I.; Herrera P.; Salazar E.; Vinchhi T.; Ramirez A.; Martinez B.; Soto G.; Macedo C.; Kelleher A.; Torres I.; Perez M.; Diego V.; Gonzalez E.; Phelan S.,"Tseng, Marilyn (55708958500); Espinoza-Kulick, Mario Alberto Viveros (57829024800); Munoz-Christian, Karen (56543520100); Gilbert, Irebid (58756463600); Herrera, Patty (58868772700); Salazar, Esperanza (57192256670); Vinchhi, Tejal (58868865600); Ramirez, Antonio (57215231573); Martinez, Bernarda (58868739300); Soto, Gloria (58868739400); Macedo, Cristina (58791139500); Kelleher, Anita (57219149004); Torres, Irma (58868896400); Perez, Maritza (59048360600); Diego, Valeria (58868896500); Gonzalez, Elisa (58149601300); Phelan, Suzanne (7006634281)",55708958500; 57829024800; 56543520100; 58756463600; 58868772700; 57192256670; 58868865600; 57215231573; 58868739300; 58868739400; 58791139500; 57219149004; 58868896400; 59048360600; 58868896500; 58149601300; 7006634281,"Mi Gente, Nuestra Salud: Protocol for a People's Movement for Health Ownership",2023.0,"Progress in community health partnerships : research, education, and action",17,4,,699,710,11.0,1.0,10.1353/cpr.2023.a914127,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181236335&doi=10.1353%2fcpr.2023.a914127&partnerID=40&md5=cf44a087480ea92b1cf4a0ca7cdc47bd,Article,Scopus,2-s2.0-85181236335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel A.; Cohen A.; Dalyot S.; Plaut P.,"Angel, Avital (57804579000); Cohen, Achituv (57217851830); Dalyot, Sagi (25822009300); Plaut, Pnina (59157749300)",57804579000; 57217851830; 25822009300; 59157749300,Impact of COVID-19 policies on pedestrian traffic and walking patterns,2023.0,Environment and Planning B: Urban Analytics and City Science,50,5,,1178,1193,15.0,9.0,10.1177/23998083221113332,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134231874&doi=10.1177%2f23998083221113332&partnerID=40&md5=a8dd118ebbd89e6d1131e2f38036cffe,Article,Scopus,2-s2.0-85134231874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xie C.; Zhao M.; Li Y.; Tang T.; Meng Z.; Ding Y.,"Xie, Chunwen (57853393900); Zhao, Minyan (57183401200); Li, Yu (57198819942); Tang, Tiantian (57853393800); Meng, Zichao (57881013300); Ding, Yan (57444634300)",57853393900; 57183401200; 57198819942; 57853393800; 57881013300; 57444634300,"Evaluating the Effectiveness of Environmental Interpretation in National Parks Based on Visitors’ Spatiotemporal Behavior and Emotional Experience: A Case Study of Pudacuo National Park, China",2023.0,Sustainability (Switzerland),15,10,8027,,,,2.0,10.3390/su15108027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160753012&doi=10.3390%2fsu15108027&partnerID=40&md5=5916587ddff1bde3fe0e22b442dd7f45,Article,Scopus,2-s2.0-85160753012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadori D.; Andreianov B.; Di Francesco M.; Fagioli S.; Girard T.; Goatin P.; Markowich P.; Pietschmann J.-F.; Rosini M.D.; Russo G.; Stivaletta G.; Wolfram M.T.,"Amadori, D. (7005467867); Andreianov, B. (6506615874); Di Francesco, M. (14017653900); Fagioli, S. (55877555800); Girard, T. (58078768700); Goatin, P. (6603469209); Markowich, P. (7006753150); Pietschmann, J.-F. (35234315400); Rosini, M.D. (8852530500); Russo, G. (55435690900); Stivaletta, G. (57211743952); Wolfram, M.T. (35235582100)",7005467867; 6506615874; 14017653900; 55877555800; 58078768700; 6603469209; 7006753150; 35234315400; 8852530500; 55435690900; 57211743952; 35235582100,The Mathematical Theory of Hughes’ Model: A Survey of Results,2023.0,"Modeling and Simulation in Science, Engineering and Technology",Part F1951,,,9,53,44.0,1.0,10.1007/978-3-031-46359-4_2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180423140&doi=10.1007%2f978-3-031-46359-4_2&partnerID=40&md5=045b7b019c847836c0c9bc772df95cc0,Book chapter,Scopus,2-s2.0-85180423140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan H.R.; Ahmed M.A.; Dutta M.,"Khan, H.R. (58342483800); Ahmed, M.A. (57085670200); Dutta, M. (58939113500)",58342483800; 57085670200; 58939113500,"A comprehensive MADM based approach for evaluating walkability of a busy market area using GRA and COPRAS: a case study of Aminabad, Lucknow",2023.0,Advances in Transportation Studies,60,,,107,124,17.0,0.0,10.53136/97912218074247,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162804836&doi=10.53136%2f97912218074247&partnerID=40&md5=f87b05873340586f56ff1cbd5ea8e178,Article,Scopus,2-s2.0-85162804836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ding Z.,"Ding, Ziheng (58348933600)",58348933600,A study of trajectory selection based on pedestrian willingness in extreme situations,2023.0,"2023 IEEE International Conference on Control, Electronics and Computer Technology, ICCECT 2023",,,,1059,1061,2.0,1.0,10.1109/ICCECT57938.2023.10140420,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162914003&doi=10.1109%2fICCECT57938.2023.10140420&partnerID=40&md5=648b5fe6b4580c8beb1ca89e49372910,Conference paper,Scopus,2-s2.0-85162914003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishnan A.M.; Marisamynathan S.,"Krishnan, A. Muthu (58496573400); Marisamynathan, Sankaran (56652274400)",58496573400; 56652274400,Development of pedestrian crossing behavior and safety index models at signalized intersections under mixed traffic conditions,2023.0,Innovative Infrastructure Solutions,8,8,209,,,,0.0,10.1007/s41062-023-01183-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165248842&doi=10.1007%2fs41062-023-01183-w&partnerID=40&md5=e0b5ac1992d55c247c332c8739902079,Article,Scopus,2-s2.0-85165248842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parmar M.; Kelly P.; Berry D.,"Parmar, Mayank (57968178600); Kelly, Paula (57194099900); Berry, Damon (7402256550)",57968178600; 57194099900; 7402256550,Detection of Pause in a Pedestrian's Movement on a Linear Walkway using Bluetooth Low Energy Received Signal Strength Indicator,2023.0,"Proceedings of 2023 IEEE International Smart Cities Conference, ISC2 2023",,,,,,,0.0,10.1109/ISC257844.2023.10293694,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178349387&doi=10.1109%2fISC257844.2023.10293694&partnerID=40&md5=a27cd5ed2c86a387f07f01c7cd2e4007,Conference paper,Scopus,2-s2.0-85178349387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawket I.M.; Shaban R.M.,"Shawket, Indjy M. (42862351700); Shaban, Rasha M. (59047206300)",42862351700; 59047206300,"Unveiling the influence of urban revitalization on pedestrian flow and conduct: a case study in New Cairo, Egypt",2023.0,HBRC Journal,19,1,,141,159,18.0,0.0,10.1080/16874048.2023.2243197,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167327257&doi=10.1080%2f16874048.2023.2243197&partnerID=40&md5=8936e379d7908857fe05e3a010f0633a,Article,Scopus,2-s2.0-85167327257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yang T.; Chen X.; Xu H.; Qin Z.; Liu S.; Liu J.,"Yang, Ting (57192833776); Chen, Xiaobing (57202455045); Xu, Hao (58352077400); Qin, Zicheng (57428345000); Liu, Sijia (57372854900); Liu, Junjie (55966724600)",57192833776; 57202455045; 58352077400; 57428345000; 57372854900; 55966724600,Influence of pepper roots on the spatial movement differentiation of soil moisture in farmland; [辣椒根系影响下的农地土壤水分空间运动分异特征],2023.0,Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering,39,13,,141,150,9.0,4.0,10.11975/j.issn.1002-6819.202302173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172418412&doi=10.11975%2fj.issn.1002-6819.202302173&partnerID=40&md5=3fa45629e4ed9d76634f0599fc754de7,Article,Scopus,2-s2.0-85172418412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan M.; Marzbali M.H.; Abdullah A.; Tilaki M.J.M.,"Fan, Mo (58926844900); Marzbali, Massoomeh Hedayati (51863746800); Abdullah, Aldrin (57202465184); Tilaki, Mohammad Javad Maghsoodi (56252646700)",58926844900; 51863746800; 57202465184; 56252646700,"Using a Space Syntax Approach to Enhance Pedestrians’ Accessibility and Safety in the Historic City of George Town, Penang",2024.0,Urban Science,8,1,6,,,,1.0,10.3390/urbansci8010006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187168908&doi=10.3390%2furbansci8010006&partnerID=40&md5=4b8107caf604c3055624a9a61149766b,Article,Scopus,2-s2.0-85187168908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang J.; Zhou W.; Lian H.; Hu R.,"Zhang, Jinjiang (59146494300); Zhou, Wenyu (59147285300); Lian, Haitao (57208512683); Hu, Ranran (59147128100)",59146494300; 59147285300; 57208512683; 59147128100,Research on Optimization Strategy of Commercial Street Spatial Vitality Based on Pedestrian Trajectories,2024.0,Buildings,14,5,1240,,,,0.0,10.3390/buildings14051240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194390856&doi=10.3390%2fbuildings14051240&partnerID=40&md5=3c4f94d295fc73d507a6fbaef4d699b7,Article,Scopus,2-s2.0-85194390856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamada T.; Utaka M.,"Yamada, Takashi (57219926609); Utaka, Michise (58017842000)",57219926609; 58017842000,Evaluating ticket gate directional restrictions using simulations of pedestrian flow considering stationary people in a railroad station concourse,2023.0,Journal of Asian Architecture and Building Engineering,22,4,,2058,2073,15.0,1.0,10.1080/13467581.2022.2153063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144070024&doi=10.1080%2f13467581.2022.2153063&partnerID=40&md5=091f9b4a4be096e90632591f70213ff1,Article,Scopus,2-s2.0-85144070024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Hamami J.M.A.; Al-Jameel H.A.,"Al-Hamami, Jasim Mohammed Ali (58696860200); Al-Jameel, Hamid Athab (57192074776)",58696860200; 57192074776,Parking Demand Characteristics for an Urban Street in Al-Najaf City,2023.0,AIP Conference Proceedings,2806,1,040024,,,,0.0,10.1063/5.0163109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176787813&doi=10.1063%2f5.0163109&partnerID=40&md5=ac02cd440b5fd295d0267731e224ac74,Conference paper,Scopus,2-s2.0-85176787813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiwakoti N.; Shrestha R.; Aghabayk K.,"Shiwakoti, Nirajan (35489053500); Shrestha, Raxchaya (58776392100); Aghabayk, Kayvan (55268073500)",35489053500; 58776392100; 55268073500,State-of-the-Art Passengers Survey Examining Passengers’ Crowd Behavior in Emergencies at Train Stations,2023.0,"Modeling and Simulation in Science, Engineering and Technology",Part F1951,,,179,200,21.0,0.0,10.1007/978-3-031-46359-4_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180431214&doi=10.1007%2f978-3-031-46359-4_7&partnerID=40&md5=02cb8d3f3d1d149c02c7fc2daff895f9,Book chapter,Scopus,2-s2.0-85180431214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul D.; Moridpour S.; Venkatesan S.; Withanagamage N.,"Paul, Deborah (58102929500); Moridpour, Sara (26639546700); Venkatesan, Srikanth (16023456700); Withanagamage, Nuwan (58858689500)",58102929500; 26639546700; 16023456700; 58858689500,Evaluating the pedestrian level of service for varying trip purposes using machine learning algorithms,2024.0,Scientific Reports,14,1,2813,,,,2.0,10.1038/s41598-024-53403-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183792180&doi=10.1038%2fs41598-024-53403-7&partnerID=40&md5=b5c23a98a0e02b6a01548675d9811d7f,Article,Scopus,2-s2.0-85183792180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshmi D.S.; Divya A.; Sreedevi E.; Kolagani R.; Gottumukkala P.; Muddana A.,"Lakshmi, Damineni Sree (57984952700); Divya, Adusumilli (57487291500); Sreedevi, Emandi (49864380400); Kolagani, Ravikiran (57212132989); Gottumukkala, Prasanthi (58142488900); Muddana, Akhilnath (58142067500)",57984952700; 57487291500; 49864380400; 57212132989; 58142488900; 58142067500,A Study and Analysis on Pedestrian Detection and Tracking Through Rear-View Images,2023.0,Ingenierie des Systemes d'Information,28,1,,23,30,7.0,3.0,10.18280/isi.280103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150046224&doi=10.18280%2fisi.280103&partnerID=40&md5=2ce0217e14014a96b41336cc8d55eba8,Article,Scopus,2-s2.0-85150046224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang Y.; Ouyang H.; Duan Y.,"Wang, Yichan (58309012700); Ouyang, Hongbo (58308580400); Duan, Yun (57280089500)",58309012700; 58308580400; 57280089500,Pedestrian Flow Early Warning System Based on WiFi Probe,2023.0,Lecture Notes in Electrical Engineering,1015 LNEE,,,605,611,6.0,0.0,10.1007/978-981-99-0416-7_60,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161462719&doi=10.1007%2f978-981-99-0416-7_60&partnerID=40&md5=f4102286ca11514dc5cbd95db71171eb,Conference paper,Scopus,2-s2.0-85161462719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shafaeipour N.; Stanciu V.-D.; van Steen M.; Wang M.,"Shafaeipour, Nadia (57889982400); Stanciu, Valeriu-Daniel (57211427393); van Steen, Maarten (7003870271); Wang, Mingshu (56342596800)",57889982400; 57211427393; 7003870271; 56342596800,Understanding the protection of privacy when counting subway travelers through anonymization,2024.0,"Computers, Environment and Urban Systems",110,,102091,,,,0.0,10.1016/j.compenvurbsys.2024.102091,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187680260&doi=10.1016%2fj.compenvurbsys.2024.102091&partnerID=40&md5=d6fe5a44ba88d32505cd7513f55bc14f,Article,Scopus,2-s2.0-85187680260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
